0,2016.10.13 10:46,7月23日，北京八达岭野生动物园发生老虎伤人事故致一死一伤。32岁游客赵女士在东北虎园下车时，被老虎拖走受伤，其母周女士下车追女儿时遭老虎撕咬死亡。昨日，伤者赵女士讲述事发经过时称，自己因为坐车晕车，下车去往驾驶室被咬伤，并非因为吵架。昨天晚上，赵女士接受京华时报记者电话采访时回忆，事发当天早上，她开着 车去给车做了保养，并且一路开车到八达岭野生动物园，加上路上堵车，自己非常累。于是，进入动物园后，就让爱人开车，但由于爱人开车不熟练，并且当时正处 于上坡地段，自己有点晕车。赵女士说，由于自己开车不晕坐车晕，所以提出要开车，便下车去往驾驶室。在走到驾驶室时，赵女士听到了 巡逻车按喇叭的声音，但来不及了，老虎已经扑过来了。对于为何会在东北虎园下车，赵女士回应说，东北虎园的构造非常混乱，容易给人一种错觉。在看到“禁止下车”警示牌的地方自己并没有下车，而是到了允许下车的休息区才下的车。赵女士告诉记者，自己受伤确实很严重，但并不像网上说的那样下巴被咬掉，“我的腰部、面部、脊椎、牙齿等多部位受伤，右脸有一道20多厘米长的疤痕，面部 神 经受损，牙齿掉了两颗，咀嚼功能受到影响。”赵女士称，目前的医学治疗已经结束，之后右下颌部分有钢板要取出，还需进行一些康复性、整容性的后期治疗，毕 竟自己还这么年轻。赵女士称，“事发当时就应该发声。但是我们充分相信了当地的政府。爱人单位领导和地方政府也一再协调。他们采取迂回战术，这可能是危机公关的手段吧。等调查报告出来之后，动物园就有恃无恐了。动物园说仍在与我们商谈，那是天大的谎言。”对于网上的言论，赵女士称：这是诬陷。任何人都有判断失误的时候，我自己肯定有责任，但我不认同网民的“不作死不会死”这一说法。事发当晚，延庆的朋友圈都在疯传我的消息。看到资料被扒，挺无语的。事发后，赵女士的父亲一直在和动物园的协商。赵先生表示，8月29日，在和八达岭野生动物园协商时，园方提出按照处理交通事故的办法定损、定责、定赔。对于 死者周某，双方协定定损124.5万，并达成一致。家属认为动物园应对周某的死亡承担全部责任，但动物园表示只承担15%的责任，并予以赔偿。对于伤者赵女士，家属一方提出定损150余万，己方承担20%至30%的责任，动物园承担70%至80%的责任；但动物园只认可74.5万，不同意家属提出的精神损 失费和后期治疗费用赔偿。赵先生表示，截至目前，动物园一方也没有给出明确的答复，双方也未达成一致意见。昨天晚上，记者联系到八达岭野生动物园负责宣传的曹先生。对于家属指称的动物园没有及时采取有效救援措施一事，曹先生表示，根据视频显示，巡逻车当时就是过去救援的，事情已经很清楚了，不需要再做出解释。曹先生称，动物园会依据政府结论办事，政府的调查报告非常详细清楚，动物园没有责任，也就不存在赔偿的问题，如果有赔偿的话，也仅仅是出于道义上的。目前， 动物园仍在和家属沟通，但还没有结论，对于事情的进展和双方协商的问题，曹先生表示不方便透露。此外，曹先生说，东北虎园目前仍未开放，具体开放时间还不确定。[“我们要求的只是一个公道，一个澄清事实的机会。”]10月14日，八达岭野生动物园老虎袭人事件受伤者赵女士，接受了澎湃新闻的采访。在谈及事故的赔偿问题时，她表示，“人已经去世了，他就算是赔偿一个亿也好，或者怎么样也好。对于我们来说一条鲜活的生命没有了。受伤的人也是很难恢复以前的那种模样了。所以我们要求的只是一个公道，一个澄清事实的机会。”不过赵女士也表示说自己并非没有责任。她认为，自己的责任在于，一是对周围环境的误判，包括下车的一种草率。事情过去已经有将近3个月时间，赵女士在回忆起事发当时的场景依然十分清晰。她回忆说，那天因为车子走走停停，自己有点晕车。于是，就打算和爱人交换座位，自己来开车。当时，赵女士是一直走到了主驾驶位置之后，后面一辆小红车按了喇叭。但是那个时候老虎就已经向她扑过来了，已经为时已晚了。她说：“大家第一时间看到的就是我下了车，然后救援车辆它又第一时间出现了。但是后面的事情就没有了。”“我爱人也不停地敲打救援车的门。但是他们回应的方式就是，这种情况我们没法救，遇到这种情况我们也不敢下车。”事故消息在网上曝出后，也引发了网上诸多的讨论，更有网友对赵女士恶言相向。对此，赵女士表示，母亲去世的伤痛要大过对于舆论的关心。她认为，最后还是要用事实，用法律最终的判决来证明这些事情。
1,1月13日 09:36 ,小鬼我是一片云809,,只怪自已没吧，嫁武松多好。 
9228,2016-10-13 14:21 ,_Andres_,,我从未见过。。。 
9229,2016-10-13 14:21 ,Jonery_ding,,活该好吗？人家动物园没向你要停业这么长时间的经济损失真是太善良了，还有脸去要精神损失费，套路太深，跟不上了都 
9230,2016-10-13 14:21 ,Julia-Beep,,索赔？赔个屁！ 
9231,2016-10-13 14:21 ,吉吉keyGala,,要脸不！你该喂老虎而不是你妈！你妈替你这垃圾送命了！ 
9232,2016-10-13 14:21 ,早安茶谜,,真他妈不要脸 视频下车走到驾驶室站那么久 一点不怕老虎的感觉 害死自己母亲 害死老虎 现在想要索赔金额多一点 怎么不把你咬死呢 
9233,2016-10-13 14:21 ,吴悦悦了个咩,,你长这么大，到动物园才开始晕车？ 
9234,2016-10-13 14:21 ,我叫李萌萌_,,啧啧啧，，老虎表示这个锅老子不背 
9235,2016-10-13 14:20 ,YANG茜0,,讲真 真没责任 
9236,2016-10-13 14:20 ,Jinxx_,,要点碧莲 
9237,2016-10-13 14:20 ,星星辰不是晨,,害死了自己的妈妈还要意思扣人家头上，让不让老人家安息了哦，晕车？骗鬼哦。还动物园构造混乱，你在路上摔一跤难道要修路的工人给你赔医药费？ 
9238,2016-10-13 14:20 ,你便是遥远的期望,,到哪里都要遵守规则。自己轻视自己的生命、为什么要动物园给你行为买单。 
9239,2016-10-13 14:20 ,陌墨默染,,人有脸树有皮，树若无皮必死无疑，人不要脸天下无敌。 
9240,2016-10-13 14:20 ,阳子阳子阳子,,这要是赔钱，该有多少想寻死的人主动去挨咬啊。 
9241,2016-10-13 14:20 ,诺言爸妈,,纯粹的瞎扯，什么叫晕车才下车，晕车下车你往副驾驶那边跑什么？还怪老虎，对都是老虎贪玩到处跑 
9242,2016-10-13 14:20 ,LIYONGHUAa,,别把最后的脸也丢了 
9243,2016-10-13 14:20 ,跳出屏幕打我啊,,不要脸 
9244,2016-10-13 14:20 ,只走过你一个人的全世界,,以前我以为这女的是笨，现在看起来是脑子都没有，晕车不会开窗户?我也晕车，感觉晕车第一反应是开窗户，你第一反应下车换座位？还是在猛兽区，编瞎话先从正常人角度出发。 
9245,2016-10-13 14:20 ,郭燕儿123,,动物园为什么要给70多万赔偿，难道不该那女的给动物园赔偿么（疑惑脸） 
9246,2016-10-13 14:20 ,限时,,不赔 
9247,2016-10-13 14:20 ,文小文____,,不要脸 
9248,2016-10-13 14:20 ,我的馒头宝宝,,真应该咬死她。 
9249,2016-10-13 14:20 ,Hijkk_,,这发声是想搞啥？？只觉得没想到你如此垃圾至极 
9250,2016-10-13 14:20 ,F_思琳,,那我如果晕机✈️，我可不可以让机长开开窗啊 
9251,2016-10-13 14:20 ,静候花开的喵,,哪有晕车下车换座位的？是你害死了你的母亲！ 
9252,2016-10-13 14:20 ,沢田蓓梓,,就我觉得她母亲都死了…赔点钱没什么吗？这做法是不对的，动物园的确没责任，但是人要讲道义啊……怎么感觉现在网上戾气这么重……? 
9253,2016-10-13 14:20 ,老是重名烦不烦,暗夜潇歌,我只服你😂 
9254,2016-10-13 14:19 ,shmilyysy,,还有好多人在帮这个女人是怎么回事，怪网友帮虎不帮人，搞笑了，现在这法制社会你们脑子里居然还是情大于法，那要法律干嘛，自杀都去动物园排队好了，法制社会依法治国啥时候才能实现 
9255,2016-10-13 14:19 ,这只小鸡跟我没关系,,去他妈的，不要脸！ 
9256,2016-10-13 14:19 ,Mandy_爱芝士,,鬼扯晕车换个位置就不晕了？真够不要脸的这种人 
9257,2016-10-13 14:19 ,机械小生_,A精灵鱼半兽人的事故A,先定个小目标讹他200万 
9258,2016-10-13 14:19 ,h_婆婆婆婆婆,,白纸黑字签字都不算数了！这人真没救了！一个成年人去动物园最基本的安全常识都没有，害自己母亲送命，不吸取教训，还在这大言不惭的讲诉自己是怎么不要脸的行为！如果这样都给你赔偿，那规矩何来？秩序何在！！！以后记得孩子也这样教育吗？真恐怖 
9259,2016-10-13 14:19 ,拼命减肥的木木君,,可能晕车的时候把大脑甩掉了吧 
9260,2016-10-13 14:19 ,Qwanwei,¡,评论配图 
9261,2016-10-13 14:19 ,水水lin,叫我小十五,真的是 
9262,2016-10-13 14:19 ,猪猿合壁,,自己不文明在先，还索赔？？？？死了你妈来换150万，女士你怎么想的？？？ 
9263,2016-10-13 14:19 ,风中一朵彼岸花,,我怎么记得视频里这女的下车跑到驾驶位子开门呢？你既然晕车了为什么要跑到驾驶位子的车门？晕车的人能开车吗？不就是想逃避责任 
9264,2016-10-13 14:19 ,ShilohWoo,艾毛elmo,哎 什么人都有 反正她自己肯定是有很大责任的 希望她能懂 
9265,2016-10-13 14:19 ,狮子牌兔子,,老虎不让你赔钱就够不错了 
9266,2016-10-13 14:19 ,tangio,,老虎幸好咬死你妈了，不然老家伙碰瓷更厉害！ 
9267,2016-10-13 14:19 ,倩哥在钓鱼,,八达岭动物园到现在都没法正常营业，这损失你家赔不赔偿？？？ 
9268,2016-10-13 14:19 ,大脚丫小细脖,,你这副缺德的样子，迟早玩完 
9269,2016-10-13 14:19 ,F_思琳,,晕车能做借口？晕车就可以在老虎周围下车？动物园不应该赔偿，这个锅不背 
9270,2016-10-13 14:19 ,波波波安,,哈哈哈哈哈哈哈哈哈真是扯淡！警示牌是干嘛用的？晕车晕瞎了？还有晕车就去驾驶座吵架可以缓解嚯？好奇葩的一个人！ 
9271,2016-10-13 14:19 ,爱大笑的鱼,,晕车算理由吗？你违反了人家规定还和人家索赔，说不过去 
9272,2016-10-13 14:18 ,马丁XL,,力挺动物园！自己想找死怪不得别人！ 
9273,2016-10-13 14:18 ,Mmm要快乐,,晕车和驾驶员换位？！你猜我信不信？ 
9274,2016-10-13 14:18 ,LornaFoon,,赔了以后大家都去这家动物园索赔 
9275,2016-10-13 14:18 ,贺心琪69367,,自己作的孽，流着泪也要忍受，有点常识的人都知道这里是危险地方，不可以下车，是你自己不遵守园内规矩还有脸好别人，何况你也说工作人员说不能下车，你自己下车怪谁，并不是你在别人的地盘受了伤你就有让别人为你买单的权利。 
9276,2016-10-13 14:18 ,Ceci_33_33,,检票给她发了六严禁手册，她不看，还怪人家没有给她讲解 
9277,2016-10-13 14:18 ,Zizi_zi,,也不知道把老虎怎么样了！！你怎么不赔我们一个老虎！！ 
9278,2016-10-13 14:18 ,天凉啊好个秋啊,,可以请媒体和记者们不要给小丑提供表演舞台吗？ 
9279,2016-10-13 14:18 ,别问我是谁0-_-0,天蝎心语,没错。晕车还是其他什么，都是借口，不能成为违反规定的理由！此风不刹，法制社会从何谈起？尿急就能随地大小便？痰多就能随地吐痰？烟瘾犯了就能随处吞云吐雾？她幸亏没在飞机上晕机，否则是不是还想和机长换换位置或者拉开机舱门，让大家陪葬？！大家都欠她的吧？！ 
9280,2016-10-13 14:18 ,路璐子野,,把所有骂她的人都赞了一遍 
9281,2016-10-13 14:18 ,诗慕凡,,关动物园什么事儿你去告老虎～🐯 
9282,2016-10-13 14:18 ,竹竹竹吗,,呵呵 
9283,2016-10-13 14:18 ,高小软_aiko,,晕车是理由么。这女的真是作。不管什么原因，下车就是她不对，救援车到的很快了，还说人家救援不力 
9284,2016-10-13 14:18 ,明星闪烁儿,,应该让她赔付对老虎的精神损失，自己的愚蠢行为把自己的母亲都搭上了，不反省自己的错误，反倒反咬一口，何等猖狂，让她赔付动物园为她停业的损失，这样的老了就一碰瓷党 
9285,2016-10-13 14:18 ,JDNO1,stef_zD,你看你个沙比，我劝你要点碧莲，这种事情最容易发生在你这种智商低的人身上，就算没发生在你这种沙比身上，我也诅咒你妈被老虎咬死 
9286,2016-10-13 14:18 ,云无may,,因为你晕车你就随便下车？那么由此导致关园，那么多的游人不能去正常游园，这个损失怎么算？你该赔偿多少？ 
9287,2016-10-13 14:18 ,喵星人mooncolour,,个人认为，此人任意下车，老虎受到惊吓，园方应替老虎向此人索赔 
9288,2016-10-13 14:18 ,奇迹暖暖联盟招人,,臭不要脸 
9289,2016-10-13 14:18 ,crush瑜,stef_zD,请问我宣判她什么了，事情不是她闹出来的？晕车不会等到安全区再下？要求赔偿200万？园方有什么错，为什么就她一个人出事了？那么多人晕车谁在高速公路中央下车了？我也佩服你，觉得什么都是对的。 
9290,2016-10-13 14:18 ,ShilohWoo,更兼高阁玉兰风,刚看到有人发他她父亲纪念她母亲的文章 里面把她妈妈描述得超好人的 就跟视频里一样想都不想就去救她一样 估计就是平时家庭环境给惯得太任性了 
9291,2016-10-13 14:18 ,君君妹-ZWJ,,虽然你已经为此付出代价，但请你不要用你以为，你自己晕车来让别人为你买单 
9292,2016-10-13 14:18 ,化作千风与星辰,,你当别人都是傻子？说什么都信？ 
9293,2016-10-13 14:17 ,墨墨hong,,啧啧啧！我觉得虎园应该反诉这个女人，无视规定害虎园歇业至今，损失惨重，让她赔偿损失 
9294,2016-10-13 14:17 ,T叶微凉T,,想要钱的心情可以理解，但是我还是支持动物园 
9295,2016-10-13 14:17 ,hudgjddff,,想钱想疯了 
9296,2016-10-13 14:17 ,Kryisall,,你他妈都为了你丢了性命了，你他妈还在想着钱，怎么被咬死的不是你真是够不要脸的 
9297,2016-10-13 14:17 ,樱花果儿33,,娘的，这就能赔钱？那我明天也去让老虎啃一口，给我闺女留下几百万 
9298,2016-10-13 14:17 ,Uwa1,,希望园方一分钱都不要给 
9299,2016-10-13 14:17 ,豆沙包家的小萝卜,,666晕车换个位置就不晕车了，神逻辑 
9300,2016-10-13 14:17 ,霍太君,,认真讲 晕车是换座位可以解决的问题吗 
9301,2016-10-13 14:17 ,饿癌晚期小巫女,,所以呢，自己要下的车还赖别人 
9302,2016-10-13 14:17 ,scarlettls,,要钱不要脸的货 
9303,2016-10-13 14:17 ,Flora费洛拉,,这跟晕不晕车有毛线关系，明明就是自己没有安全意识 
9304,2016-10-13 14:17 ,箫艺寒,,该女子玩过山车觉得有点晕车，于是纵身跳下……时候要游乐场赔钱，理由，谁让你们不把保护措施做好的！ 
9305,2016-10-13 14:17 ,内酷君Neko,,晕车。。。跟驾驶员换座位？细思极恐 
9306,2016-10-13 14:17 ,似雪亦海,,是不是晕车看视频就知道，不过出于人道主义，动物园会有些赔偿，但不是因为负全责而作出的赔偿。 
9307,2016-10-13 14:17 ,HECMATIAl,,哎，真是给世人敲响警钟 
9308,2016-10-13 14:17 ,番禹99,,换驾驶位就不晕车了？ 
9309,2016-10-13 14:17 ,这个世界有点冷9686,,这个女的竟然还没认识到错误！再来一次让她咬死就知道自己错了 
9310,2016-10-13 14:17 ,我是大猫你是小鱼,,死了妈都还不忘搞诈骗，刁民一个，不要逼脸。 
9311,2016-10-13 14:17 ,不次稀饭,,一毛钱都别给他！！！ 
9312,2016-10-13 14:17 ,尐贝最初的男神是德彪西,,敲竹杠吗？可惜了你妈用命救你 
9313,2016-10-13 14:17 ,Gipsofilahappy,,别说了 老人家为了救你命都豁出去了 
9314,2016-10-13 14:16 ,舒乙瑜伽普拉提工作室王羲老师,飞机飞远了,打110救了老虎一命？ 
9315,2016-10-13 14:16 ,刘-贺-,,不做就不会死，自己犯的错把自己妈害死。 怨这个赖那个，真厉害！ 
9316,2016-10-13 14:16 ,-吃周么,,真的不要脸 
9317,2016-10-13 14:16 ,ilosiofl,,不要碧莲，老虎说“香菇” 
9318,2016-10-13 14:16 ,茶言棺瑟,,从未见过如此厚颜无耻之人。。。老虎园下车理由是晕车。。。。。😂搞笑，那晕机是不是还要给她打开飞机门让她蹲翅膀上透透气？ 视频看的那么清楚，晕车的人居然还那么淡定悠闲的走去驾驶室那边，晕车所以开车透透气？！你当吃瓜群众都是瞎子傻子吖？！ 
9319,2016-10-13 14:16 ,超级无敌小佩佩,,你考虑过老虎的感受吗？ 
9320,2016-10-13 14:16 ,刀剑如梦816,,动物园应该找你赔才是，耽误人家营业这么长时间，不要个脸 
9321,2016-10-13 14:16 ,嘿-我呀,,还要脸不？ 
9322,2016-10-13 14:16 ,本用户已注销97,,每次这种低素质的人受到惩罚，我就觉得大快人心，简单来说就是活该 
9323,2016-10-13 14:16 ,是小狐狸呐丶,,好想骂啊，从未见过如此厚颜无耻之人 
9324,2016-10-13 14:16 ,皮皮Wallace,,如果她说谎，我想连她妈在地府也感羞耻！ 
9325,2016-10-13 14:16 ,SuunF_,,你妈妈为你的愚蠢买单你他妈还好意思要赔偿！ 
9326,2016-10-13 14:16 ,chloe_冬眠ing,,自己晕车？换座位还要去开车？什么逻辑…… 
9327,2016-10-13 14:16 ,泥螺过往,,坑妈是这么来的 
9328,2016-10-13 14:16 ,伴我多久is,,可笑 晕车是到了动物园才晕的吗？再说 视频上你怒气冲冲的 走路都带风 晕车？？我看你是要起飞  这次支持动物园 
9329,2016-10-13 14:16 ,_天使的指纹__,狗娃山盲流子,说话积点口德！！小心这样的事下次发生在你身上！！ 
9330,2016-10-13 14:15 ,龙Key,,药店碧莲？ 
9331,2016-10-13 14:15 ,Zizi_zi,,晕车你踏马还跑到驾驶座这干嘛，连一根老虎毛都不赔你，要点逼脸不 
9332,2016-10-13 14:15 ,嘟嘟-0112,,还有脸来要求赔偿？ 
9333,2016-10-13 14:15 ,牛牛是一把好剑,,你咋这么不要脸哩？ 
9334,2016-10-13 14:15 ,韩悦她爸,,还要点脸吗 哦对 没脸了 
9335,2016-10-13 14:15 ,骑着铁马奔西藏,,100块都别给她 
9336,2016-10-13 14:15 ,清然依然,,哦，赵女士的意思是全都是园方的错。不说别的，就禁止下车这一点你就该老老实实呆在车上🙄️被水淹谁还能怪水吃人了？自己不靠近就好了 
9337,2016-10-13 14:15 ,-xindmmmmm,,你晕车你还想换位置开车？？？！！！！！！！坐驾驶位？呵呵呵呵~~~ 
9338,2016-10-13 14:15 ,短腿小矮子95,,[被电] 
9339,2016-10-13 14:15 ,悦动小地鼠,,那河边跳河的是不是应该告政府修河？跳楼的是不是应该告开发商盖楼？真是神逻辑！ 
9340,2016-10-13 14:15 ,我没吃过肉夹馍,,自个下车找死    还想找动物园赔钱 
9341,2016-10-13 14:15 ,半斤银子和八两日子,,动物园欠你的是吧，你说下车就下车，下了车被咬还得动物园救你一命，救完你还得给你赔钱，呵呵你咋不上天 
9342,2016-10-13 14:15 ,SuunF_,,你不仅没自责你自己下车造成的严重后果，反而还要人家动物园赔钱！ 
9343,2016-10-13 14:15 ,iubc,,呵呵 
9344,2016-10-13 14:15 ,可爱多楠咩,,坑园来的吧， 
9345,2016-10-13 14:15 ,软语低聲诉-,,去你妈的咋不咬死你呢 舔个逼脸还要钱 说的话一天一个样 
9346,2016-10-13 14:15 ,涂玉珂-,,真实可靠 免费入职 ¡评论配图 
9347,2016-10-13 14:15 ,夜行吧,,全家都晕车吗？车里就没人阻止？ 
9348,2016-10-13 14:15 ,逝去已不在F第,,碧池害人害己，老天爷收你，活该坚货 ¡评论配图 
9349,2016-10-13 14:15 ,MadmoiselleV,,现在看来老虎应该把她咬死 
9350,2016-10-13 14:14 ,香蕉皮皮o,,她要是开微博场面不可想象 
9351,2016-10-13 14:14 ,胆怯丹稻洁,,裙赏灸热[萌]    ¡评论配图 
9352,2016-10-13 14:14 ,forgetwhatmysin,,看了视频，首先那男的已经算汉子了，回身估计是关车门，毕竟车里还有孩子，要是车里再出事就更糟。看起来起因的确像是要换位，女人下车走到驾驶位，男的在车里解安全带再移座位，移到一半女的就被拖走了男的冲出门，这时间上说得过去。说不过去的是那女的傻大胆猛兽园区都敢下车啊 
9353,2016-10-13 14:14 ,-顽固1992,,要脸不 
9354,2016-10-13 14:14 ,lilililili哩-,,生气，昨天老师还和我们说，在日本，如果遵守规则出事情了你就重于泰山，如果违反规则你就轻如鸿毛。而中国国情是同情弱者…… 
9355,2016-10-13 14:14 ,漆布圆,,还说“园区构造混乱，给人造成错觉”怎么就你出现幻觉下车了、别人都没？连累了母亲不发声明，一直再说赔偿、钱。。你老母亲也真心造孽有这么个女儿，老来不得好、去的莫名其妙，希望老太太安息 
9356,2016-10-13 14:14 ,千叶妖精,,自己不懂惜命，还想拉别人下水。这已经不是蠢了，这就是坏！！！ 
9357,2016-10-13 14:14 ,朴泰仁的星星糖,,车里也可以换座位的，那些无证驾驶者看见交警不都是车内换座位吗，晕车这理由太烂了，还要索赔200余万，长点心吧，瞎扯也得有个度不是吗 
9358,2016-10-13 14:14 ,希望20061021,,人不要脸天下无敌 
9359,2016-10-13 14:14 ,阿阿阿阿崔阿,,广大网友三观真是嘎嘎正！！我很满意 
9360,2016-10-13 14:14 ,阳子阳子阳子,,真是够了，动物园反诉因为她的违规下车赔偿营业损失 
9361,2016-10-13 14:14 ,SuunF_,,人家之前就跟你说了，不允许下车，而且你也签字了，你还让人家赔你钱？你咋那么好意思呢 
9362,2016-10-13 14:14 ,陶灰灰835,,入园的时候已经签了免责书了。 
9363,2016-10-13 14:14 ,叹秋雪之殇,,晕车关人家园方什么事？还嫌自己不够作死？还嫌不够还敢出来丢人现眼？这三观谁特么教的？ 
9364,2016-10-13 14:13 ,_天使的指纹__,crush瑜,真是“佩服”你们这种思想！！好像什么都是应该的！！杀人犯都不一定判处死刑！你把人家直接给宣判了！！ 
9365,2016-10-13 14:13 ,黑大帅Striver,,动物园没责任。咬的只有伱一家。 
9366,2016-10-13 14:13 ,陈二毛18年要过cpa并变瘦,,个人观点换位置不成立。如果正常换另一个人开，应该是两人直接在车里换，或者是同时下车。而不是一个人下车到对方门口站着等另一个人出来。 
9367,2016-10-13 14:13 ,没有留过洋,,应该是北京人，北京人可厉害了！天子脚下沾点光！身价也涨点吧！ 
9368,2016-10-13 14:13 ,杜拉拉历险记,,我以为她会说对不起让大家担心了 
9369,2016-10-13 14:13 ,gopqjGfd,,你想借此讹钱应该形容老虎开车门咬伤你们家人 这样我觉得靠谱点 
9370,2016-10-13 14:13 ,轻氧轻燕燕窝白藜芦醇-小神仙,超酷妹儿,哪都能看到你 
9371,2016-10-13 14:13 ,北美猫奴联盟,,高速公路上也晕车，然后在公路上公然下车换座位？高速上了没有到处都是禁止下车的警示，那撞死人了算谁的？ 
9372,2016-10-13 14:13 ,澜盏燕窝,,看来她伤的还不够重，还不思悔改说自己晕车，你晕车为什么让园区陪你200万？这么大的教训还不自省？还在强词夺理？ 
9373,2016-10-13 14:13 ,Liar_H,,从副驾驶换到正驾驶就不晕车了？？？？ 
9374,2016-10-13 14:13 ,-2HOONY,,换了座位就不晕车？你晕车无论做哪个位置都晕 我看被老虎咬一咬可能还能清醒点 自己作死还奢望别人替你买单 
9375,2016-10-13 14:13 ,亦大雨林0331,,因为她的愚蠢行为，使得动物园的游客数量减少，损失惨重，应该动物园向她索赔才对！ 
9376,2016-10-13 14:13 ,Celeste自愚人,,快让我看看这女的是哪来的傻比 
9377,2016-10-13 14:13 ,干燥鲁炊,,炭，胸绿[膜拜了]   
9378,2016-10-13 14:13 ,JDNO1,stef_zD,看到骂你的人那么多，我也就放心了。 你说你个贱货在那里找贱 
9379,2016-10-13 14:13 ,熊kuma様sama,,钱没有，这个老虎大概值那么多，送给你们了。 
9380,2016-10-13 14:13 ,一个妄想瘦到90斤的胖纸,,晕车就应该赶紧开到园外好好休息、而不是在危险的地方下车。没有常识真可怕 
9381,2016-10-13 14:13 ,子月哩-,,禁止下车禁止下车就是无条件禁止下车   你害了自己的家人 
9382,2016-10-13 14:13 ,修罗S蚌埠,,你晕你下车，它饿它吃人，都没毛病 
9383,2016-10-13 14:13 ,張Ting身材不像熊,彳余璐璐,我只是心疼救她的妈妈 
9384,2016-10-13 14:13 ,谢锐韬大男神,,让她去死，一分钱没有，她母亲的死是她冲动的代价 
9385,2016-10-13 14:13 ,一头小黄鹂,,就算你晕车是真的好了 视频里面工作人员真的是很快就赶到了 不存在救援不及时 
9386,2016-10-13 14:12 ,GabyCC,,晕车也不能下车吧，起码的常识都没有。 
9387,2016-10-13 14:12 ,哈特mouth,,这借口也太牵强了 动物园早就告诉过禁止下车 你先下车就是违反规定 现在用晕车做借口也真是low 
9388,2016-10-13 14:12 ,SYsaim,,不要碧莲 
9389,2016-10-13 14:12 ,咖神勒vini,,脸呢没了 
9390,2016-10-13 14:12 ,A我是小小小小影,,真无语了，怎么想的那！ 
9391,2016-10-13 14:12 ,Azzzai,,以后在空中晕飞机咋办？ 
9392,2016-10-13 14:12 ,叶子z-y,,去吧，去抓老虎报仇去吧 
9393,2016-10-13 14:12 ,是猫猫猫猫啊,,不要脸 
9394,2016-10-13 14:12 ,_天使的指纹__,狗娃山盲流子,滚犊子！！ 
9395,2016-10-13 14:12 ,平潭妹子,,你有本事找老虎陪去 
9396,2016-10-13 14:12 ,sweetwodew,,如果是晕车换座位的话 怎么不两个一起下车快点跑过去 
9397,2016-10-13 14:12 ,顾城楼,coco蜜2013,嗯，一时火气上来了，就这样。没控制住。主要女的太嚣张，男的车上还有小孩呢。小孩都吓哭了？女的专门别车。而且车流那么密集，活该被打。自己不要命，也想托着别人一起。 
9398,2016-10-13 14:12 ,咚壹灬,帅到没朋友的精神科大夫,评论就服你 
9399,2016-10-13 14:12 ,刘大人-candy,dapoxetine,有道理，看看有没有恶意诈保的行为 
9400,2016-10-13 14:12 ,Fawooooo,,就是为了讹钱现在改理由了。不管别人信不信。老虎肯定不信 
9401,2016-10-13 14:12 ,找不到我不找了,,动物园关门这么久都损失多少，售票员也明确告诉你不能下车，头手不能伸出窗外 
9402,2016-10-13 14:12 ,安安佶,,应该告动物园老虎竟然吃肉  再告汽车生产商自己竟然可以在老虎区下车   接着告保险公司 保险一点都不保险  很快就可以发家致富 
9403,2016-10-13 14:11 ,王小馨小仙女,,出了事情不要老想着是别人的责任，多想想自己。自己都不对自己的安全负责，别人又能做什么呢？ 
9404,2016-10-13 14:11 ,好多人言可畏,,你不要脸老虎还要脸呢 
9405,2016-10-13 14:11 ,因为春天来了,,卧槽这女的真不要脸啊 
9406,2016-10-13 14:11 ,王喜乐很喜乐,,好想给所有骂这女的人点赞，但是发现太多了几乎全部都是，点不过来😂😂 
9407,2016-10-13 14:11 ,lilacly,,就是没责任啊！晕车也不可以下车啊！你不遵守规则，害死了自己母亲，现在还要讹钱 
9408,2016-10-13 14:11 ,W王公子W,,‍你想死 ‍干嘛‍‍拉‍上‍你妈  ‍可怜‍了‍你的‍妈 ‍结果‍你不知悔改 ‍还在这‍不要脸的‍瞎‍bb ‍‍‍简直‍无法‍‍形容‍你 ‍最起码的‍做人‍你都不懂 ‍你活着‍有什么‍意思‍呢 ‍我就特别不理解 
9409,2016-10-13 14:11 ,DoNgYAqI嘻嘻嘻-,真是这样的话一开始为什么不敢说出来,别管什么园内构造混乱不混乱是不是说了不让你下车不是伤者最大真的是不作不死 
9410,2016-10-13 14:11 ,情歌越唱越难过--,,构造混乱？易让人产生错觉？别人怎么不下车呢？自己还挺会找理由！欠把你也咬死、 
9411,2016-10-13 14:11 ,爱久见人心_21,,你除了害得自己留条疤 把妈妈命给丢了  你还害得老虎好几天不敢吃荤 你造不造  你都逼一老虎去吃草了  你还想怎样  自己做的孽 要那么人替你承担  还好意思在这要钱   
9412,2016-10-13 14:11 ,gopqjGfd,,生者反思逝者安息  难道你为你的愚蠢行为还找借口吗 够了 可惜老人救你 该死的是你 园方该重金安葬老人  
9413,2016-10-13 14:11 ,抵冷全靠意志力,,还有脸索赔？ 
9414,2016-10-13 14:11 ,_天使的指纹__,bia嘴儿喵,犯错承担被咬死的后果呗？死也是活该，你是这意思不？？ 
9415,2016-10-13 14:11 ,_AnDaPa,,只能说支持动物园 
9416,2016-10-13 14:11 ,JDNO1,stef_zD,你这种沙比5毛党我见多了。。 
9417,2016-10-13 14:11 ,萌萌鱼的豆喵,,原来是晕车了呀，那应该让车赔呀。 
9418,2016-10-13 14:11 ,爱你我的淘宝贝,,晕车换到驾驶座开车吗？？？ 
