0,2016-10-16 20:41,【张大伟回国投案自首，为什么追逃爱劝返？】近日，犯罪嫌疑人张大伟回国投案自首。在打击贪官外逃方面,我国主要依靠引渡、遣返、劝返等措施。从实践可看出，许多外逃人员已通过劝返的方式回国接受法律的审判和制裁。什么是劝返？为什么追逃爱劝返？
6869,2016-10-17 00:29 ,皮皮洁的日常,,擦，我以为我大老师怎么了 ？？ 
6870,2016-10-17 00:29 ,网红化妆教程搬运菌,网红化妆教程搬运菌, 
6871,2016-10-17 00:29 ,Miss吥髙兴,,我以为是大张伟！还心想他犯什么事了…… 
6872,2016-10-17 00:29 ,糖-会-甜xt,,告诉我不是我一个人看成大张伟 
6873,2016-10-17 00:29 ,AI峰琪,珏公举_Ruby, 妈的我看成大张伟，还在想他犯什么事儿了？ 
6874,2016-10-17 00:29 ,yyy易如既往,,他妈的看成大张伟 
6875,2016-10-17 00:29 ,郑欢21,,以为只有我一个人看成的大张伟，吓的我赶紧看了下评论😂 😂 😂 
6876,2016-10-17 00:29 ,好大的发疯,心有知花,可悲 
6877,2016-10-17 00:28 ,闰土偷来的西瓜,,看成大张伟！ 
6878,2016-10-17 00:28 ,CCCheer,,我把说看成大张伟的全都赞了一遍 
6879,2016-10-17 00:28 ,就算菜也要玩貂蝉,,看了半天是大张伟，看了评论又回去看自己看错了 
6880,2016-10-17 00:28 ,倩王-,,卧槽 
6881,2016-10-17 00:28 ,我一定要想个不被占用的名字,,引渡和遣返有什么区别？ 
6882,2016-10-17 00:28 ,黄英豆豆,,看成了大张伟 
6883,2016-10-17 00:28 ,松鼠是龅牙,,看成大张伟 
6884,2016-10-17 00:28 ,一失足成大胖子,,看着张大伟想着是大张伟的请举手 
6885,2016-10-17 00:28 ,穿猫的靴子Ww,,大张伟 
6886,2016-10-17 00:28 ,你的抠鸡KOUJI,,张大伟就这么蹭了热搜 
6887,2016-10-17 00:28 ,CHEN_大欣欣,,看成大张伟 
6888,2016-10-17 00:28 ,iamJessieLee,,一直以为是大张伟看了评论才知道 
6889,2016-10-17 00:28 ,薛菲Aimee,,额 ！我还在纳闷大张伟不唱歌，怎么贪污了？看了评论才知道看错了，妈妈呀肯定不是我一个以为是大张伟吧 
6890,2016-10-17 00:28 ,_街里,___乔二狗, 
6891,2016-10-17 00:28 ,风筝向南,,我也看成大张伟哈哈哈 
6892,2016-10-17 00:28 ,浙江大学培训袁园老师,,原谅我看成大张伟 
6893,2016-10-17 00:28 ,花伦美少年就是我,,看成大张伟了 
6894,2016-10-17 00:28 ,DeeQianwen,,大张伟！！！你弄啥咧！！ 
6895,2016-10-17 00:27 ,林妤婌,,我居然看成了大张伟😂😂😂花儿乐队的大张伟！！对不起大老师我错怪你了 
6896,2016-10-17 00:27 ,x北城半夏x,,中华文明博大精深，张大伟看成大张伟。 
6897,2016-10-17 00:27 ,从小我妈妈就说昵称可以这么长,,大张伟犯事了😳 
6898,2016-10-17 00:27 ,掠过黄沙,,我特么的还以为大张伟。。 
6899,2016-10-17 00:27 ,想改个名不知道改什么_,,原来不止一个人看成大张伟 
6900,2016-10-17 00:27 ,落烬情愫,,唉，看成大张伟进来的 
6901,2016-10-17 00:27 ,蜜桃_小丸子耶,,一眼看成大张伟。绝对很多人都看错 
6902,2016-10-17 00:27 ,临安初雨w,,我也看成大张伟了才点进来了😂还在想今晚蒙面唱将刚好他不在 
6903,2016-10-17 00:27 ,DJH卡,,真以为大张伟 
6904,2016-10-17 00:27 ,-Zeng丽灵-,,哇靠 我以为大张伟做什么事情了要投案自首，中国的文字真的是博大精深吖 
6905,2016-10-17 00:27 ,Dear-LCC__,,大张伟怎么了！！！卧槽！！！！原来是张大伟 
6906,2016-10-17 00:27 ,厚积薄发SSS,,大张伟犯什么事儿了你们要抓他，还有王法吗？还有法律吗？ 
6907,2016-10-17 00:27 ,傲娇系小公举,,看成大张伟吓我一跳 
6908,2016-10-17 00:27 ,芒了个果嗨了,,还好不是只有我看错成大张伟… 
6909,2016-10-17 00:27 ,勤快乌拉拉,,看错都顶到热搜了 
6910,2016-10-17 00:27 ,W-王笑,,看成了大张伟 
6911,2016-10-17 00:27 ,卡路里爆表,,没想法大张伟是这样的人 
6912,2016-10-17 00:27 ,傻了吧唧的虫子,,第一眼看成了大张伟 
6913,2016-10-17 00:27 ,MisterWilber,,一眼看成大张伟。 
6914,2016-10-17 00:27 ,廾匸呢,,看成大张伟 
6915,2016-10-17 00:27 ,lazyz_,,她妈的我也看成大张伟了 
6916,2016-10-17 00:27 ,李雪林MKS,,看成大张伟😂 
6917,2016-10-17 00:27 ,汝归,,看成大张伟 
6918,2016-10-17 00:27 ,旮旯gay,,以为大张伟 
6919,2016-10-17 00:26 ,一粒衬衣扣子,大张伟, 
6920,2016-10-17 00:26 ,tyyyyyyyyyyq,,草，看成大张伟了。。。 
6921,2016-10-17 00:26 ,方木木木木丶,,第一眼就是大张伟，吓我好几跳 
6922,2016-10-17 00:26 ,爱美小玲是个小妖婆, ,¡评论配图 
6923,2016-10-17 00:26 ,格格不弍,,一眼看成大张伟 所以张大伟是谁 
6924,2016-10-17 00:26 ,傲呆力傻碧,Stitch潇,这期没来就不想看了 
6925,2016-10-17 00:26 ,我是你的超级妈妈阿,,吓我这大跳，我纳闷了半天大老师怎么了 
6926,2016-10-17 00:26 ,Leexx21,,愣是看成了大张伟 还想着大张伟咋突然犯了啥罪呢。。。 
6927,2016-10-17 00:26 ,Baihgyalady-CH,,我他妈真以为大张伟怎么了！！！ 
6928,2016-10-17 00:26 ,一个跟斗十万八千里的齐天大圣,,我去～以为大张伟～什么鬼～ 
6929,2016-10-17 00:26 ,_____honey_mmMelissa__,,我也看成了大张伟😂 
6930,2016-10-17 00:26 ,蔓萝er,,我也以为大张伟干啥事了！！！ 
6931,2016-10-17 00:26 ,yxysowhat,,第一眼看成大张伟 
6932,2016-10-17 00:26 ,jinx的女朋友啦,,第一眼看成大张伟，我不是一个人吧 
6933,2016-10-17 00:26 ,川不是那个川,,看到评论里一片以为是大张伟的我就放心了，原来不是我一个人瞎了 
6934,2016-10-17 00:26 ,花尽未犹,,还以为是大老师呢，这个人是来蹭热度的 
6935,2016-10-17 00:26 ,一個有時,,看成大张伟 
6936,2016-10-17 00:26 ,Yyyy_iqng,,第一眼大张伟?吓死宝宝了。 
6937,2016-10-17 00:26 ,呢MS,,这新闻，据统计，看错率为百分之百😂 
6938,2016-10-17 00:26 ,柚礼礼,,我看成了大张伟。雷 
6939,2016-10-17 00:26 ,萌蠢的胖达,,不好意思看成了大张伟 
6940,2016-10-17 00:26 ,--大莹莹--,,一不小心居然看成了大张伟 
6941,2016-10-17 00:26 ,哊猫腻lo,,看成了大张伟 
6942,2016-10-17 00:26 ,瘦子中的扛把子,,我以为是大张伟， 
6943,2016-10-17 00:25 ,LUCIFERDAM,,别说了……看成大张伟…… 
6944,2016-10-17 00:25 ,-933-x,,第一眼看成大张伟的抱紧我 
6945,2016-10-17 00:25 ,樱桃爱吃桃,,。。看了评论才发现不是大张伟 
6946,2016-10-17 00:25 ,Jaynn_T,-Gwyy-, 看成大张伟 
6947,2016-10-17 00:25 ,疯人愿留守,大张伟, 哈哈哈，看看热门全是你，重点是我也看错了 
6948,2016-10-17 00:25 ,糖果--布丁爱,,看成大张伟，😂😂😂 
6949,2016-10-17 00:25 ,-真真是极好的-,,我看了两眼都以为是大张伟 
6950,2016-10-17 00:25 ,vi采姑娘的小蘑菇,,原来大家都是看成大张伟了 
6951,2016-10-17 00:25 ,卩尐__,,只有我一个人看成大张伟了么？！ 
6952,2016-10-17 00:25 ,浅唱忧伤0827,,看成大张伟了哈哈哈哈哈 
6953,2016-10-17 00:25 ,ZJHIAANGX,uygnixoug,哈哈哈 
6954,2016-10-17 00:25 ,我的意中人是个盖世英雄啊,,第一眼看成大张伟 
6955,2016-10-17 00:25 ,andy72836,,因为大张伟上热搜 哈哈哈 大张伟太红 
6956,2016-10-17 00:25 ,情客百结的醴迕日记,,我就是过来看看，看看是不是大家都跟我一样，都看成是大张伟了，看来不是我一个人 
6957,2016-10-17 00:25 ,呢MS,晶姐姐z, 
6958,2016-10-17 00:25 ,叶铄铄铄,,好吧，我看成了大张伟 
6959,2016-10-17 00:25 ,ZhangS-C,,第一眼大张伟 
6960,2016-10-17 00:25 ,文文欧巴,,大张伟。。。 
6961,2016-10-17 00:25 ,风景的九游,,第一反应是大张伟，第二反应是张国伟 
6962,2016-10-17 00:25 ,藤井sama,,我。。。看成张国伟了。。。😱 
6963,2016-10-17 00:25 ,麻辣菊花小团子,大张伟, 
6964,2016-10-17 00:25 ,高鸿琰,,以为大张伟了 
6965,2016-10-17 00:25 ,爱美的yomi,,我居然看成了大张伟 
6966,2016-10-17 00:25 ,小跳蛙呱呱呱呱,,卧槽我以为大张伟 
6967,2016-10-17 00:24 ,坏脾气泡泡,,吓死我了   什么鬼    
6968,2016-10-17 00:24 ,馋猫小鬼mnm,3w和com,哈哈哈哈 我也是 
6969,2016-10-17 00:24 ,尔岚如玉,,我去！看成了大张伟 
6970,2016-10-17 00:24 ,为张韶涵打抱不平就关注我,#张韶涵我是歌手#, 
6971,2016-10-17 00:24 ,后来不一定居上,,吓死我了，大老师蒙了 
6972,2016-10-17 00:24 ,字典里只有快乐,大张伟, 
6973,2016-10-17 00:24 ,玩转秦皇岛,,是就说其实文中的序顺并不能响影你的解理力 
6974,2016-10-17 00:24 ,宇宙大肚子,,看成大张伟 
6975,2016-10-17 00:24 ,阿典典典,,看成大张伟 
6976,2016-10-17 00:24 ,全世界最棒的慕寒mio,,别这样，黑我大张伟 
6977,2016-10-17 00:24 ,最可爱_a,,我以为大张伟 
6978,2016-10-17 00:24 ,au_ueong_L,,我还以为是wuli大老师，张大伟什么鬼 
6979,2016-10-17 00:24 ,大王学长,naruto, 
6980,2016-10-17 00:24 ,陈翔慕韩M,,尼玛看成大张伟了。。 
6981,2016-10-17 00:24 ,傲呆力傻碧,,我 ❌！老被骗，老以为是我大张伟，他刚还自己自了个首 
6982,2016-10-17 00:24 ,Mary空空如也,,我还以为大老师又怎么了 
6983,2016-10-17 00:24 ,我就是美人鱼你咬我啊,,我以为大张伟 
6984,2016-10-17 00:24 ,俞夢笛,,看成大张伟的不止我一个，吓我一跳 
6985,2016-10-17 00:24 ,薛之謙哥哥啊,,还他妈以为大张伟干嘛了！怎么就投案自首了？什么情况！吓得我马蓉都没看 
6986,2016-10-17 00:24 ,Cc陈锐强_,,大张伟原名大裆伟！ 
6987,2016-10-17 00:24 ,Dengiz-1993,,尼玛！我以为大张伟呢 
6988,2016-10-17 00:24 ,Zerah涵,,看成了大张伟… 
6989,2016-10-17 00:24 ,李柠Ning,大张伟, 
6990,2016-10-17 00:24 ,yuraaaaa_,,乍一看以为说的大张伟，吓了我一大跳 
6991,2016-10-17 00:23 ,今朝有酒明朝醉啊,,看了个大张伟..... 
6992,2016-10-17 00:23 ,哈哈哈哈哈哈神经吧,,我还以为大张伟… 
6993,2016-10-17 00:23 ,LIN橙子z,,看了两遍都以为是大张伟 
6994,2016-10-17 00:23 ,马思远呀,,大张伟蓝瘦，香菇 
6995,2016-10-17 00:23 ,LOQUAT大萍,,吓我一跳，竟然看成了大张伟，以为又出什么段子了呢 
6996,2016-10-17 00:23 ,温声细语A,,看成了大张伟 我说大张伟啥时候犯事了 
6997,2016-10-17 00:23 ,活着不就是那回事吗,大张伟,  和张国伟@张国伟_国家伟大 😂😂😂
6998,2016-10-17 00:23 ,路长路短都是缘,,吓我一跳，我还想大张伟是不是吸毒潜逃了， 
6999,2016-10-17 00:23 ,小怪兽路人o,,大张伟………点了进来 
7000,2016-10-17 00:23 ,YouL27,,恩，因为大张伟成热门了 
7001,2016-10-17 00:23 ,妳的小仙女,,我也以为是大张伟 
7002,2016-10-17 00:23 ,掉进钱眼里的妞570,,看成大张伟 
7003,2016-10-17 00:23 ,掉发少女X,,1吓死我了，看成大张伟 
7004,2016-10-17 00:23 ,大曦吖-,,我就知道绝对有很多人看成了大张伟 
7005,2016-10-17 00:23 ,xxxibjnnn,,第一眼看成大张伟。。 
7006,2016-10-17 00:23 ,云朵小奶糖,,看成大张伟不止我一个 
7007,2016-10-17 00:23 ,布吶娜,,看成大张伟 
7008,2016-10-17 00:23 ,吃饭睡觉别打我呀,,还以为大张伟～～ 
7009,2016-10-17 00:23 ,Mark汀,,我看成了大张伟 
7010,2016-10-17 00:23 ,哇呼呼_,,吓死外祖母了。 
7011,2016-10-17 00:23 ,高LYDIA,,还以为是大张伟 
7012,2016-10-17 00:23 ,绿野仙踪爱上闲云野鹤,,以为大张伟，吓死了 
7013,2016-10-17 00:23 ,下雨不愁的大头-,,我还奇怪点开照片不是大张伟的啊   吓一跳 
7014,2016-10-17 00:23 ,王雨婷婷mua,,我看成了大张伟吓shi了 
7015,2016-10-17 00:23 ,打死不闭眼,,把看成大张伟的都赞了一遍 
7016,2016-10-17 00:23 ,z闲着也是闲着x,,看成大张伟的点我 
7017,2016-10-17 00:23 ,牛四平,,我以为是大张伟 
7018,2016-10-17 00:23 ,几月几日-,,只有我一个人看成大张伟吗 
7019,2016-10-17 00:23 ,凉笙千禧,,我还想说大张伟怎么了。。 
7020,2016-10-17 00:23 ,无昵称用户818,,看成大张伟 
7021,2016-10-17 00:23 ,刀刀--凡灵糖,,热评全是大张伟 
7022,2016-10-17 00:23 ,唧唧复唧唧124,,告诉我  看成大张伟的不止我一个 
7023,2016-10-17 00:23 ,话唠王同学你好啊-,,看成大张伟 
7024,2016-10-17 00:23 ,木鱼蓝,,晃眼看错+1 
7025,2016-10-17 00:22 ,我终于不傻了,鹏妈说我爷们迷, 
7026,2016-10-17 00:22 ,李黛生,,我还以为大张伟怎么了 
7027,2016-10-17 00:22 ,心内de一首歌,,还以为大张伟大名叫张大伟 
7028,2016-10-17 00:22 ,今年的愿望是脸小点,,看成了大张伟 
7029,2016-10-17 00:22 ,呀呀阿勤,,阿西吧差点就黑了大张伟 
7030,2016-10-17 00:22 ,__Lmx-娴,,看成了大张伟 
7031,2016-10-17 00:22 ,香熏抹茶,,请赞我告诉不是我一个人第一眼就看成大张伟！ 
7032,2016-10-17 00:22 ,关山沽渌,,懵逼…看成了大张伟 
7033,2016-10-17 00:22 ,咻一姑姑,,吓死我了 我以为。。。。 
7034,2016-10-17 00:22 ,六味杂话铺,,盯着看都看成了大张伟，心想怪不得蒙面那啥节目这期没来… 
7035,2016-10-17 00:22 ,王白十七,,有几个人和我一样看成了大张伟？ 
7036,2016-10-17 00:22 ,花雪大是_,,妈的以为是大张伟 
7037,2016-10-17 00:22 ,就渣,,哈哈哈哈哈哈哈哈哈哈原來大家看的都是大張偉 
7038,2016-10-17 00:22 ,是玺欢烊宝的阿喵呀,,我看成了大张伟😂 😂 😂 吓一跳 
7039,2016-10-17 00:22 ,其实都没有V,,妈的，我看成了大张伟，想着他犯了什么法，竟然一点风声也没有就这么突然自首😂😂😂 
7040,2016-10-17 00:22 ,ZHANGDAWEI-,曹大慧pl,为什么你也给我刷这个 
7041,2016-10-17 00:22 ,难伴今生,,现在中外警方合作，外逃被通缉，啥都干不了。不自首等啥。 
7042,2016-10-17 00:22 ,我改个名字叫MZ吧,,看成张国伟 
7043,2016-10-17 00:22 ,Diansy_YangLi,,卧槽我以为大张伟 
7044,2016-10-17 00:22 ,Crayon2f_,_满身都是仙女味儿_,为啥哪里都有你~ 
7045,2016-10-17 00:22 ,FoxyMaggieee,,居然看成了大张伟 吓死我了 
7046,2016-10-17 00:22 ,猫与狗的树,,我也看成大张伟😂 
7047,2016-10-17 00:22 ,Hey港岛妹妹,,大张伟加一 
7048,2016-10-17 00:22 ,绵阳羔羔,,我还想大老师这又怎么了😂 
7049,2016-10-17 00:21 ,姓李的长颈鹿,,看成了大张伟 
7050,2016-10-17 00:21 ,大刘家的喵,,吓死我了  看成大张伟了 
7051,2016-10-17 00:21 ,su-yc,,我看成大张伟了。 
7052,2016-10-17 00:21 ,霸霸Superman,,原来不是我一个人看错 
7053,2016-10-17 00:21 ,刘小狗爱吃肉,,看成了大张伟，后来一想不对，以为是张国伟 
7054,2016-10-17 00:21 ,Lin_rin,,大张伟回国投案自首.... ？ 
7055,2016-10-17 00:21 ,朱颖辰,,以为是大张伟才来的…… 
7056,2016-10-17 00:21 ,CerL66,,大张伟？？？ 原来不止我一个人眼花 
7057,2016-10-17 00:21 ,被人遗弃de神,,钱花完了，回国了 
7058,2016-10-17 00:21 ,马思远呀,,😳😳大张伟！ 
7059,2016-10-17 00:21 ,青埂仙biubiubiu,,大张伟说不出话…… 
7060,2016-10-17 00:21 ,倪n咪,,为社么我看成了大张伟，吓死 
7061,2016-10-17 00:21 ,笑笑的微博oO,,心想大张伟又出什么事了 
7062,2016-10-17 00:21 ,露大仙lu,,张大伟看成了大张伟，我好醉😂 
7063,2016-10-17 00:21 ,绵羊兴的Xback啊,,我不相信只有我看成大张伟 
7064,2016-10-17 00:21 ,不要香菜丶H,,多少是看成大张伟的，点个赞 
7065,2016-10-17 00:21 ,丿Aqua丶枝晚,,把看成大张伟的全赞了一遍 
7066,2016-10-17 00:21 ,crazyormad,,原来不是只有我看成大张伟 
7067,2016-10-17 00:21 ,Y-LIan-_,,卧槽！还以为大张伟犯法了 
7068,2016-10-17 00:21 ,歪歪敏敏在么,,也原谅我，我怎么说大张伟都上政治舞台了 
7069,2016-10-17 00:21 ,为王cherish,,我也看错了😂😂😂 
7070,2016-10-17 00:21 ,Molten-z,,看成大张伟的举手🙋！第一眼看心说爱贫嘴也犯法了吗 
7071,2016-10-17 00:21 ,小耳朵machine,大张伟, 
7072,2016-10-17 00:21 ,lil_pou,,吓我一跳……以为大张伟…… 
7073,2016-10-17 00:21 ,付_较瘦,,艾玛，吓蒙圈了，第一反应是给大张伟炒作，仔细一看是张大伟 
7074,2016-10-17 00:21 ,今夜暴風雨使我安睡,,md我以为是大张伟 
7075,2016-10-17 00:20 ,现在说散就散了,,我以为就我看成大张伟。。。 
7076,2016-10-17 00:20 ,凌沁霖,,啊 看成大张伟了 
7077,2016-10-17 00:20 ,你的小卢卢,,我以为是大张伟 看了图片我愣住了 我以为大张伟变了样这智商还有谁？ 
7078,2016-10-17 00:20 ,忙着可爱的怪阿姨,,乍一瞅看成了大张伟 
7079,2016-10-17 00:20 ,寶寶玉玉-love,,把字看成了大张伟，我也是醉了 
7080,2016-10-17 00:20 ,温润如玉一切如你x,,第一眼看成大张伟！！！ 
7081,2016-10-17 00:20 ,一桶怪小妞,,这让我看成了大张伟 
7082,2016-10-17 00:20 ,王小柱丫,,妈的，看成大张伟 
7083,2016-10-17 00:20 ,月半小夜曲lin,系啊鱼蛋,我也是，吓到我了 
7084,2016-10-17 00:20 ,心有知花,好大的发疯,娱乐至死 
7085,2016-10-17 00:20 ,wolospring,,被看错名字顶起来的热搜  哈哈哈服 
7086,2016-10-17 00:20 ,瀟哦瀟,,不因为以为看成大张伟 这新闻都上不了热搜 
7087,2016-10-17 00:20 ,DBenXUANLING,,吓死我了！ 
7088,2016-10-17 00:20 ,差点就昏啦,,看成大张伟…吓死了 
7089,2016-10-17 00:20 ,再给我个毛巾,,看成大张伟 
7090,2016-10-17 00:20 ,糹丶,,看了三遍，图片关了开开了关找了半天也没看到大张伟 
7091,2016-10-17 00:20 ,PETERPANXY,,大张伟？吗？ 
7092,2016-10-17 00:20 ,可笑的家伙,,绝对不是我一个人看成大张伟 
7093,2016-10-17 00:20 ,杨杨杨_饭,JIN三胖呀, 我还以为是大张伟呢 
7094,2016-10-17 00:20 ,国王的潮品niggaswag,,跟我有何关系 
7095,2016-10-17 00:20 ,咩尼老魔木木,,怎么都看成大张伟 
7096,2016-10-17 00:20 ,白兰鸽与知更鸟,,看成了大张伟 
7097,2016-10-17 00:20 ,WaterMelo-dy,,我在想就大张伟这逗逼能干出什么大事要自首 
7098,2016-10-17 00:20 ,幕幕清歌辞,,看成大张伟的是不是不止我一个？😂😂😂😂😂吓一跳，大同学！ 
7099,2016-10-17 00:20 ,Rui-芮的碎花裙,,有和我一样是冲着大张伟来的吗😂 
7100,2016-10-17 00:20 ,晃影错错,,一眼看成大张伟，点开评论，果然全是大张伟 
7101,2016-10-17 00:20 ,王小二以后会成为大款,,吓死我了，我完全看成大张伟了 
7102,2016-10-17 00:20 ,Abby_Xxy,,以为是大张伟，吓死😂 
7103,2016-10-17 00:19 ,好大的发疯,,翻了下评论  几乎清一色都是说看成大张伟的   所以说这个张大伟不管是杀人放火还是强奸妇女你们是不在乎的 
7104,2016-10-17 00:19 ,阿阿阿阿阿阿阿酒,,原来不是只有我第一眼看成大张伟 
7105,2016-10-17 00:19 ,coooooolre,,…以为大张伟……… 
7106,2016-10-17 00:19 ,5sherilyn,,😂网络慢就在想会不会有人评论大张伟 
7107,2016-10-17 00:19 ,他不懂776,,我以为是大张伟，吓我一跳，点进来才知道不是 
7108,2016-10-17 00:19 ,若瑟夫0313,,竟然敢叫张大伟。。。。 
7109,2016-10-17 00:19 ,我前面有个杯子,,大张伟。。。 
7110,2016-10-17 00:19 ,KrishanSkm,,吓死我了 看成了大老师 
7111,2016-10-17 00:19 ,草莓岑荭,,想说，有没有没看成大张伟的同学在 
7112,2016-10-17 00:19 ,麦兜Heartme,,我艹我以为是大张伟 
7113,2016-10-17 00:19 ,白羊座的沐沐呀,还想着，大张伟这是犯了啥事啊！！居然投案自首！！, 
7114,2016-10-17 00:19 ,AllBlue_1128,,把所有看成“大张伟投案自首”的赞了一遍 
7115,2016-10-17 00:19 ,Lo_Siento_Te,,一直看成大张伟  
7116,2016-10-17 00:19 ,美丽是颜-瓶瓶桑,,差点看成大张伟 
7117,2016-10-17 00:19 ,红橙黄绿蓝盆友-,,我以为大张伟怎么了.... 
7118,2016-10-17 00:19 ,你愁还是我愁,同学小章,哈哈哈哈哈我也 
7119,2016-10-17 00:19 ,一天土豆,,吓了一跳 
7120,2016-10-17 00:19 ,张平波好难听咩,性无感,他妈的吓死我了看成大张伟 
7121,2016-10-17 00:19 ,白羊座的沐沐呀,还想着，大张伟这是犯了啥事啊！！居然投案自首！！, 
7122,2016-10-17 00:19 ,爱新觉罗铁板粉丝,,看了评论，一万多人看成了大张伟，我也是～ 
7123,2016-10-17 00:19 ,颖酱很忙,,我看成了大张伟。。。 
7124,2016-10-17 00:19 ,乐意o_o,,我就说这唱地好好的歌怎么突然干什么大事要到被劝返那么严重！原来不是我一个人看错 
7125,2016-10-17 00:19 ,疯疯癫癫到天涯啊啊啊啊啊,,看成大张伟！ 
7126,2016-10-17 00:19 ,刘灬木头,,麻痹看成大张伟 
7127,2016-10-17 00:19 ,一天土豆,,我还以为是大张伟 
7128,2016-10-17 00:19 ,老冬瓜Adrain,,大张伟自首了，yeah 
7129,2016-10-17 00:19 ,阿黄sperk,,热评10个有11个评论的与大张伟有关 
7130,2016-10-17 00:19 ,白羊座的沐沐呀,还想着，大张伟这是犯了啥事啊！！居然投案自首！！, 
7131,2016-10-17 00:19 ,路Fve,,评论就这样被大张伟带歪了 
7132,2016-10-17 00:19 ,宅若久时天然呆1112,,看成大张伟。。。 
7133,2016-10-17 00:19 ,逆水行舟dawn,,有多少人看成了大张伟 
7134,2016-10-17 00:19 ,迷妹乐的小马甲,,还以为大张伟 吓我一跳 
7135,2016-10-17 00:19 ,沐子甜decembe,曾经是第一名,我也是看成大张伟，就跑进来看看是不是有一样的，结果还真不少啊 
7136,2016-10-17 00:19 ,Prin_暖,,大张伟 
7137,2016-10-17 00:18 ,DAnApp1e,,看成大张伟的抱紧我 
7138,2016-10-17 00:18 ,OOKHYIpmjCJLLM2,,所有评论都是大张伟哈哈哈哈哈哈哈 
7139,2016-10-17 00:18 ,peaceminusone-achieves,,只有我一个人看成了大张伟吓了一跳吗 
7140,2016-10-17 00:18 ,Ideologist-summer,,他这照片我咋感觉跟出国考察一样😳 
7141,2016-10-17 00:18 ,李阳希希希,,把第一眼认为是大张伟的都赞了一遍 
7142,2016-10-17 00:18 ,花楼,,一万评论都是大张伟😂没人关注新闻内容吗😂大张伟在民众的形象还是挺好的😂 
7143,2016-10-17 00:18 ,团子小宝宝,,神TM大张伟 
7144,2016-10-17 00:18 ,维1走过de路口,,真心看成大张伟，害我激动的说他咋了 
7145,2016-10-17 00:18 ,Sumimi-,,卧槽 竟然不是大张伟？😂 
7146,2016-10-17 00:18 ,疏樱横斜,,看成大张伟233333333 
7147,2016-10-17 00:18 ,性无感,张平波是嚣张那个张,我没看错 
7148,2016-10-17 00:18 ,一大只安安,,看成大张伟才点进来的。。。 
7149,2016-10-17 00:18 ,苏西的堇夕还是橙子,蕃茄也炒蛋, 
7150,2016-10-17 00:18 ,M你不要脸的样子真好看M,,看成大张伟了，吓死老娘了 
7151,2016-10-17 00:18 ,与琳小馆,,看成大张伟 
7152,2016-10-17 00:18 ,崽崽Ceci,,我也看成大张伟了 
7153,2016-10-17 00:18 ,爱新觉罗铁板粉丝,,我看成大张伟，才来看看的 。。。可是，告诉我，他是谁？ 
7154,2016-10-17 00:18 ,ZXiaoM_0120,,吓他妈死我了 
7155,2016-10-17 00:18 ,_胖子a,,我看成了大张伟 多少人和我一样请点赞 
7156,2016-10-17 00:18 ,路边一只琬,,我以为大张伟 
7157,2016-10-17 00:18 ,Freja小兔,,大张伟怎么了？ 
7158,2016-10-17 00:18 ,没有小F的传送带,,妈的 看来都看成大张伟了😃 
7159,2016-10-17 00:18 ,拿拿拿拿支刷刷,,大张伟一脸懵逼 
7160,2016-10-17 00:17 ,绿色长颈鹿sharon,,妈的，早知道先看评论了，寻思半天，以为娱乐圈又要刷新我的三观了 
7161,2016-10-17 00:17 ,白夜黑天i,,一不留神看成大张伟 
7162,2016-10-17 00:17 ,我可能是要疯,,都看成了大张伟吗 
7163,2016-10-17 00:17 ,车银优wuli男票,,我以为是大张伟那个抄袭事件 
7164,2016-10-17 00:17 ,权款爷GD,,差点以为是大张伟，妈的 
7165,2016-10-17 00:17 ,你不要写奇怪的诗给老子,,大老师哈哈哈哈 
7166,2016-10-17 00:17 ,高三流亡者,,短短一段字让我以为大张伟怎么了？为什么要追逃爱，劝返😂都市言情小说的节奏呢😂之后才明白是张大伟，是追逃，爱，劝返。😂中华文化博大精深，三五个字成就一段故事😂 
7167,2016-10-17 00:17 ,Jessica籽籽,,我也看成大张伟了！尴尬 哈哈！n 
7168,2016-10-17 00:17 ,吴晓妤Yu,,我看成大张伟了 
7169,2016-10-17 00:17 ,疯狂竹子Show,,看成大张伟了 
7170,2016-10-17 00:17 ,你的稀客他的无双,,哈哈哈，我以为只有我一个人看成大张伟 
7171,2016-10-17 00:17 ,李泓仪呀,,妈的  看好几遍  怎么看都是大张伟   艹  原来是张大伟 
7172,2016-10-17 00:17 ,Ada0810,,看完了都以为是大张伟 
7173,2016-10-17 00:17 ,Jn_Ge,,吓死宝宝了我以为大张伟咋了呢 
7174,2016-10-17 00:17 ,_多娜,,尼玛 把看成大张伟的全赞了一遍… 
7175,2016-10-17 00:17 ,巴黎的厄加特,,第一眼看成大张伟的举个手 
7176,2016-10-17 00:17 ,脑洞少女的耕博日常,,看成大张伟 
7177,2016-10-17 00:17 ,Daggab23,,进来把所有看成大张伟的都赞了一遍 手好酸 
7178,2016-10-17 00:17 ,山竹酱啊,,看了三眼都以为是大张伟 
7179,2016-10-17 00:17 ,用户5930548116,,卧槽还以为是大张伟😂 
7180,2016-10-17 00:17 ,傀儡sxm,,卧槽 第一反应 大张伟怎么了 
7181,2016-10-17 00:17 ,河矮海佛N疯,,看成大张伟 
7182,2016-10-17 00:17 ,说给风听l,,看成大张伟的不止我一个 
7183,2016-10-17 00:17 ,连相纸都来不及变旧-,,..... 我说大张伟咋的了呢 
7184,2016-10-17 00:17 ,神仙姐姐姐姐,,不止我一个看成大张伟 
